date,item_id,item_name,category,brand,price,competitor_price,promo,promo_type,discount_depth,holiday,payday,is_weekend,temperature,stockout,demand
2023-01-01,item_001,Milk 1L,Dairy,FreshFarm,213.26,206.31,0,none,0.0,1,0,1,-1.7,0,49
2023-01-02,item_001,Milk 1L,Dairy,FreshFarm,213.61,211.06,0,none,0.0,1,0,0,4.4,0,35
2023-01-03,item_001,Milk 1L,Dairy,FreshFarm,214.84,228.4,0,none,0.0,0,0,0,-1.7,0,21
2023-01-04,item_001,Milk 1L,Dairy,FreshFarm,204.9,220.95,1,bundle,0.05,0,0,0,0.9,0,56
2023-01-05,item_001,Milk 1L,Dairy,FreshFarm,215.41,204.9,0,none,0.0,0,1,0,-2.7,0,47
2023-01-06,item_001,Milk 1L,Dairy,FreshFarm,215.17,224.58,0,none,0.0,0,0,0,-1.6,1,11
2023-01-07,item_001,Milk 1L,Dairy,FreshFarm,216.11,206.73,0,none,0.0,1,0,1,1.5,0,50
2023-01-08,item_001,Milk 1L,Dairy,FreshFarm,217.32,226.79,0,none,0.0,0,0,1,-2.5,0,52
2023-01-09,item_001,Milk 1L,Dairy,FreshFarm,216.82,214.84,0,none,0.0,0,0,0,1.0,0,28
2023-01-10,item_001,Milk 1L,Dairy,FreshFarm,217.83,209.67,0,none,0.0,0,0,0,0.2,0,29
2023-01-11,item_001,Milk 1L,Dairy,FreshFarm,218.04,208.57,0,none,0.0,0,0,0,1.3,0,38
2023-01-12,item_001,Milk 1L,Dairy,FreshFarm,216.41,225.0,0,none,0.0,0,0,0,-6.9,0,33
2023-01-13,item_001,Milk 1L,Dairy,FreshFarm,216.81,222.0,0,none,0.0,0,0,0,2.0,0,46
2023-01-14,item_001,Milk 1L,Dairy,FreshFarm,214.72,219.57,0,none,0.0,0,0,1,-0.6,0,69
2023-01-15,item_001,Milk 1L,Dairy,FreshFarm,218.83,210.02,0,none,0.0,0,0,1,4.9,0,53
2023-01-16,item_001,Milk 1L,Dairy,FreshFarm,216.88,206.07,0,none,0.0,0,0,0,0.1,0,34
2023-01-17,item_001,Milk 1L,Dairy,FreshFarm,217.35,208.26,0,none,0.0,0,0,0,-1.0,0,20
2023-01-18,item_001,Milk 1L,Dairy,FreshFarm,218.36,210.43,0,none,0.0,0,0,0,5.0,0,29
2023-01-19,item_001,Milk 1L,Dairy,FreshFarm,218.46,220.19,0,none,0.0,0,0,0,-1.7,0,42
2023-01-20,item_001,Milk 1L,Dairy,FreshFarm,218.45,219.49,0,none,0.0,0,1,0,2.7,0,55
2023-01-21,item_001,Milk 1L,Dairy,FreshFarm,215.97,223.14,0,none,0.0,0,0,1,5.2,0,60
2023-01-22,item_001,Milk 1L,Dairy,FreshFarm,215.61,229.03,0,none,0.0,0,0,1,5.1,0,53
2023-01-23,item_001,Milk 1L,Dairy,FreshFarm,215.4,222.51,0,none,0.0,0,0,0,-0.6,0,28
2023-01-24,item_001,Milk 1L,Dairy,FreshFarm,218.75,228.78,0,none,0.0,0,0,0,1.4,0,31
2023-01-25,item_001,Milk 1L,Dairy,FreshFarm,218.62,221.82,0,none,0.0,0,1,0,0.3,0,33
2023-01-26,item_001,Milk 1L,Dairy,FreshFarm,217.6,213.07,0,none,0.0,0,0,0,5.8,0,39
2023-01-27,item_001,Milk 1L,Dairy,FreshFarm,217.6,224.42,0,none,0.0,0,0,0,2.3,0,42
2023-01-28,item_001,Milk 1L,Dairy,FreshFarm,216.51,219.81,0,none,0.0,0,0,1,2.0,0,61
2023-01-29,item_001,Milk 1L,Dairy,FreshFarm,215.63,205.74,0,none,0.0,0,0,1,10.8,0,52
2023-01-30,item_001,Milk 1L,Dairy,FreshFarm,217.17,206.44,0,none,0.0,0,0,0,5.3,0,25
2023-01-31,item_001,Milk 1L,Dairy,FreshFarm,218.37,221.62,0,none,0.0,0,0,0,5.1,0,26
2023-02-01,item_001,Milk 1L,Dairy,FreshFarm,215.32,207.42,0,none,0.0,0,0,0,5.5,0,22
2023-02-02,item_001,Milk 1L,Dairy,FreshFarm,217.15,214.79,0,none,0.0,0,0,0,8.9,0,42
2023-02-03,item_001,Milk 1L,Dairy,FreshFarm,218.13,208.64,0,none,0.0,0,0,0,5.1,0,51
2023-02-04,item_001,Milk 1L,Dairy,FreshFarm,217.63,228.95,0,none,0.0,0,0,1,6.0,0,50
2023-02-05,item_001,Milk 1L,Dairy,FreshFarm,196.41,206.25,1,display,0.1,0,1,1,7.5,0,83
2023-02-06,item_001,Milk 1L,Dairy,FreshFarm,218.0,227.28,0,none,0.0,0,0,0,7.5,0,25
2023-02-07,item_001,Milk 1L,Dairy,FreshFarm,217.06,214.1,0,none,0.0,0,0,0,3.2,0,33
2023-02-08,item_001,Milk 1L,Dairy,FreshFarm,215.71,227.94,0,none,0.0,0,0,0,9.4,0,37
